prompt_A,prompt_B,cosine_similarity
Electronic door lock with keypad beeps,Electronic door lock with keypad beeps,0.99999994
Electronic music with synthetic beats,Electronic music with synthetic beats,1.0
Elevator arriving with bell and doors opening,Elevator arriving with bell also doors opening,0.94691265
Elevator music in department store,Elevator music in department store,1.0000001
Empty concert hall with distant piano notes,Empty concert hall including remote piano notes,0.8866258
Empty playground swings creaking in wind,Empty playground swings squealing among zephyr,0.81567013
Engine room of large ship at sea,Engine room of large ship at sea,1.0
Espresso machine steaming milk,Espresso device steaming milk,0.9375633
Evening cicadas and crickets in summer,Evening cicadas coupled with crickets inside summer,0.8572773
Excited dog greeting returning owner,Excited dog greeting returning owner,1.0
Explosive thunderclap during storm,Explosive thunderclap in the midst of storm,0.8875155
Factory assembly line with conveyor belt,Factory assembly line featuring conveyor belt,0.9371942
Falling raindrops on window pane,Falling raindrops upon window pane,0.98035944
Farm animals waking at dawn,Farm animals waking when dawn,0.955793
Fast flowing river in mountain gorge,Quick passing channel within mountain gorge,0.81598604
Fast-paced footsteps running on pavement,Fast-paced footsteps running across pavement,0.9693984
Fax machine sending document,Fax contrivance sending document,0.81387466
Ferris wheel at night carnival,Ferris wheel during night carnival,0.95078593
Field of wheat rustling in breeze,Field of wheat crinkling among breeze,0.914615
Film projector running in empty theater,Film projector running in empty theater,1.0
Finale of fireworks display,Finale of fireworks display,1.0
Fire alarm ringing in building,Fire warning clanging throughout establishment,0.80543125
Fire truck siren approaching emergency,Fire truck siren approaching emergency,1.0
Fireplace crackling on winter evening,Fireplace fizzing on winter evening,0.91952837
Fireworks exploding in celebration,Fireworks exploding in celebration,1.0
Fish tank bubbler and filter running,Fish tank bubbler coupled with filter running,0.93617916
Fishing boat diesel engine idling,Fishing boat diesel engine idling,1.0
Fishing line casting and reel spinning,Fishing line casting alongside reel spinning,0.9411976
Fitness class with instructor and music,Fitness class with instructor coupled with music,0.93070376
Fizzing soda being poured into glass,Fizzing soda being poured into glass,1.0000001
Flamenco dancers with castanets and footwork,Flamenco dancers featuring castanets alongside footwork,0.95547295
Flashbulbs popping at press conference,Flashbulbs popping throughout press conference,0.9330288
Flipping through pages of newspaper,Flipping through pages of newspaper,1.0000001
Flowing river with rushing rapids,Flowing river plus rushing rapids,0.9376359
Flute playing solo melody in empty hall,Flute playing solo melody amidst empty hall,0.92929435
Flying insects buzzing around porch light,Winging insects buzzing around porch light,0.9609126
Fog horn blowing in harbor mist,Fog horn blowing amid harbor mist,0.9703969
Footsteps approaching on wooden floor,Footsteps approaching over wooden floor,0.95255923
Footsteps crunching in fresh snow,Paces crunching inside fresh snow,0.81519055
Footsteps echoing in empty corridor,Paces echoing amidst empty corridor,0.81408703
Footsteps in dry autumn leaves,Steps among dry autumn fronds,0.7625944
Footsteps on gravel path in garden,Footsteps on gravel path in garden,0.99999994
Footsteps running up wooden staircase,Stride sounds running up wooden staircase,0.7861222
Forest after rainfall with dripping leaves,Woodland after rainfall accompanied by dripping leaves,0.88412195
Forest at dusk with owl hooting,Forest while dusk with owl hooting,0.9593293
Forest fire crackling through underbrush,Copse fire crinkling through underbrush,0.8138087
Formula 1 race cars passing by,Formula 1 race cars passing by,1.0
Fox hunting horn across autumn field,Fox hunting horn across autumn field,1.0
Freezer door opening with frost cracking,Freezer door opening with frost cracking,1.0
French cafe with accordion music,French cafe featuring accordion music,0.9404404
Frog chorus at pond edge at twilight,Frog chorus at pond edge in the course of twilight,0.9392261
Frontier town with horses and wagon,Frontier town plus horses coupled with wagon,0.8302505
Frying bacon in pan with sizzling,Frying bacon in pan accompanied by sizzling,0.9423399
Funeral procession with solemn music,Funeral procession plus solemn music,0.94796586
Furious thunderstorm with heavy rain,Furious downpour accompanied by massive rain,0.8056864
Futuristic city with flying vehicles,Futuristic urban area including soaring vehicles,0.83881974
Futuristic computer interface with beeps,Futuristic PC interface comprising beeps,0.92705345
Galloping horse across open meadow,Galloping horse across open meadow,0.9999999
Game show audience applauding answer,Game show audience applauding answer,1.0
Garage door opening automatically,Garage door opening automatically,1.0
Garden party with conversations and music,Garden party with conversations coupled with music,0.933987
Gas stove burner igniting,Gas stove burner igniting,1.0
Geese honking during migration,Geese honking during migration,1.0
Gentle brook in forest clearing,Soft brook amid forest clearing,0.89491236
Gentle ocean waves on sandy beach,Tranquil maritime domain billows on sandy beach,0.647082
Gentle rain on tent while camping,Gentle drizzle over tent while camping,0.91823465
Gentle stream flowing through meadow,Soft rill moving across meadow,0.7717082
Gentle wind through pine forest,Gentle zephyr amidst pine woods,0.71554196
Ghost town with wind through empty buildings,Ghost town including zephyr through empty buildings,0.8243128
Glass breaking in slow motion,Glass breaking in deliberate motion,0.8907758
Glass shattering on hard floor,Glass shattering upon hard floor,0.9708554
Glassblower working with molten glass,Glassblower working together with molten glass,0.96407413
Glasses clinking in celebration toast,Glasses clinking within celebration toast,0.9495746
Grandfather clock striking midnight,Grandfather timepiece striking midnight,0.8615677
Grasshoppers chirping in summer field,Grasshoppers calling in summer field,0.9153796
Gravel crunching under car tires,Gravel crunching under auto tires,0.9661589
Group meditation with ohm chanting,Group meditation together with ohm chanting,0.9734472
Guitar being carefully tuned,Guitar being carefully tuned,1.0
Gull cries over harbor with boat bells,Gull cries over harbor together with boat bells,0.9727809
Gym workout with weights and breathing,Gym workout including weights coupled with respiration,0.90944076
Hair dryer running on high setting,Hair dryer running upon high setting,0.9364835
Halloween party with monster sounds,Halloween party featuring monster sounds,0.9392445
Hammer hitting nail into wood,Hammer hitting nail into wood,1.0
Hammock swinging with rope creaking,Hammock swinging featuring rope moaning,0.87087125
Hand cranked ice cream maker,Hand cranked ice cream maker,1.0
Hand washing dishes in sink,Hand washing dishes in sink,0.9999999
Harbor with boat horns and gulls,Harbor accompanied by boat blares and gulls,0.9014472
Harp glissando in concert hall,Harp glissando inside concert hall,0.9693116
Haunted house attraction with screams,Haunted home attraction plus screams,0.90700996
Haunting violin solo in empty church,Haunting violin solo in empty church,1.0
Heavy rain hitting window panes,Intense cloudburst hitting window panes,0.7501352
Heavy rain on canvas tent,Prominent downpour on canvas tent,0.79961234
Heavy snowfall with muffled city sounds,Substantial snowfall with muffled municipality sounds,0.9057485
Heavy storm with wind and rain,Heavy storm comprising zephyr and precipitation,0.769247
Helicopter blades whirring overhead,Copter blades whirring overhead,0.94529414
Hens clucking in chicken coop,Hens clucking during chicken coop,0.9689645
High heel shoes walking on marble floor,High heel shoes strolling against marble floor,0.9328797
High mountain wind through rocky peaks,High mountain breeze along rocky peaks,0.937001
High school band practicing in distance,High school band practicing within distance,0.9376639
High school hallway between classes,High school hallway between classes,1.0
High speed train passing by station,High speed train passing by station,1.0
Highway traffic from pedestrian bridge,Highway motorists from pedestrian bridge,0.89699334
Hiking boots on rocky mountain trail,Hiking boots covering rocky mountain trail,0.9590688
Hockey game with stick slaps and crowd,Hockey game alongside stick slaps plus congregation,0.8520457
Home printer scanning and printing,Home printer scanning in addition to printing,0.80277747
Horse carriage on cobblestone street,Horse carriage over cobblestone pathway,0.92652774
Horse galloping across open field,Horse galloping across open field,1.0000001
Horse neighing and stomping in stable,Horse neighing and stomping amid stable,0.96116847
Horse trotting on dirt path,Horse trotting on dirt path,1.0
Hospital corridor at night with occasional pages,Hospital corridor amid night together with occasional pages,0.8603699
Hot air balloon burner firing,Hot air balloon burner firing,1.0
Hotel lobby with quiet piano music,Hotel lobby alongside subdued piano music,0.81379414
House construction with hammering and sawing,Habitat construction with hammering as well as sawing,0.86901814
Hovercraft engine and water spray,Hovercraft propulsion system and water spray,0.89124644
Howling wind during winter blizzard,Howling wind in the midst of winter blizzard,0.8956403
Humming refrigerator in quiet kitchen,Whirring refrigerator amidst quiet kitchen,0.76512384
Hushed museum gallery with occasional whispers,Hushed museum gallery with irregular whispers,0.93684125
Hydraulic press crushing objects,Hydraulic press crushing objects,1.0000001
Ice cream truck melody in suburb,Ice cream truck melody in suburb,0.99999994
Ice cracking on frozen lake,Ice cracking covering frozen lake,0.9379798
Ice cubes being dropped into glass,Ice cubes being dropped en route to glass,0.8900651
Ice hockey puck and stick impacts,Ice hockey puck and stick impacts,1.0
Ice skating rink with blades on ice,Ice skating rink comprising blades against ice,0.9017878
Icicles melting and dripping,Icicles melting in addition to dripping,0.8760448
Industrial elevator machinery operating,Industrial elevator machinery operating,1.0
Industrial factory with machinery running,Industrial factory comprising machinery dashing,0.7964441
Inside car during heavy rainstorm,Inside car over the course of prominent rainstorm,0.76791626
Inside medieval blacksmith shop,Inside medieval blacksmith shop,1.0000001
Inside moving elevator with mechanical sounds,Inside moving elevator alongside mechanical sounds,0.9209197
Inside submarine with sonar pings,Inside submarine with sonar pings,0.9999999
Inside tent during rainstorm,Inside tent while rainstorm,0.94732344
Jazz club with saxophone solo,Jazz club featuring saxophone solo,0.96670794
Jet airliner taking off nearby,Jet airliner taking off nearby,1.0
Jet ski racing across water,Jet ski racing across water,0.99999994
Jewelry box with ballerina turning,Jewelry box together with ballerina turning,0.9380066
Jungle at night with exotic animal sounds,Jungle at night with exotic animal sounds,1.0
Kettle beginning to whistle on stove,Kettle beginning to whistle upon stove,0.95335615
Key turning in old door lock,Key turning throughout old door lock,0.92418873
Keyboard typing with mechanical switches,Key set typing including mechanical switches,0.8532522
Kids playing in swimming pool,Kids working amid swimming pool,0.88506675
Kitchen during busy dinner preparation,Kitchen throughout busy dinner preparation,0.9454874
Kitten meowing for attention,Kitten meowing for attention,1.0
Knitting needles clicking together,Knitting needles clicking together,1.0
Lake waves lapping against dock,Lake waves lapping against dock,0.9999999
Large audience applauding performance,Large audience applauding performance,0.99999994
Large cathedral with echoing footsteps,Large cathedral with echoing treads,0.8968996
Large crowd chanting at protest,Large assembly chanting amid protest,0.8960017
Large crowd singing national anthem,Large throng singing national anthem,0.9016028
Large grandfather clock ticking,Large grandfather chronometer tocking,0.7918932
Large industrial fan in warehouse,Large industrial fan during warehouse,0.91094077
Large metal gate closing and locking,Large metal gate closing alongside locking,0.91874385
Large office with typing and phones,Large office with typing also phones,0.9051859
Large waves crashing on rocky shore,Large tides smashing covering rocky shore,0.8876539
Laser printer printing document,Laser printer printing document,1.0
Laundromat with washing machines running,Laundromat including washing machines dashing,0.85151094
Lawn mower running in suburban yard,Lawn mower sprinting amidst suburban yard,0.8409976
Lawn sprinklers running in morning,Lawn sprinklers running in morning,0.99999994
Leaves rustling in autumn breeze,Leaves rustling in autumn breeze,1.0
Library with occasional page turning,Library accompanied by occasional page turning,0.8890624
Light aircraft engine starting,Faint aircraft powerplant starting,0.6133139
Light rain falling on calm lake,Delicate precipitation falling on calm lake,0.8602692
Light rain on greenhouse roof,Mild rainfall upon greenhouse shelter,0.805368
Lightning strike with immediate thunder,Lightning strike with immediate thunderclap,0.8864713
Lions roaring in savanna distance,Lions roaring in savanna distance,1.0
Live auction with fast-talking auctioneer,Live auction featuring fast-talking auctioneer,0.95475453
Loading dock with trucks and forklifts,Loading dock featuring trucks alongside forklifts,0.94684255
Locomotive steam engine starting,Locomotive steam engine starting,1.0
Log cabin fireplace crackling in winter,Log cabin fireplace spitting in winter,0.9173141
Logging operation with chainsaws,Logging operation with chainsaws,0.99999994
Loom weaving fabric in textile mill,Loom weaving fabric within textile mill,0.9620317
Lullaby music box playing slowly,Lullaby music box engaging slowly,0.9571212
Lumber being cut at sawmill,Lumber being cut at sawmill,1.0000001
Machine gun firing rapidly,Appliance gun firing rapidly,0.9002063
Magic spell casting with mystical sounds,Magic spell casting accompanied by mystical sounds,0.92876995
Magical forest with ethereal sounds,Magical forest together with ethereal sounds,0.94360363
Magician performing with audience gasps,Magician performing including audience gasps,0.95582825
Mail slot with letters dropping through,Mail slot accompanied by letters dropping amidst,0.6777482
Market square with vendors calling,Mall square including vendors calling,0.8449325
Martial arts training session,Martial arts training session,1.0
Match being struck and lighting,Match being struck also lighting,0.8927997
Mechanical clock winding up,Mechanical timer winding up,0.8701097
Mechanical metronome ticking steadily,Mechanical metronome pulsing steadily,0.90705436
Mechanical toy robot walking,Mechanical toy robot treading,0.9352918
Meditative singing bowl being struck,Meditative singing bowl being struck,1.0000001
Melting ice cream dripping on hot day,Melting ice cream dripping above hot day,0.924952
Metal detector beeping at treasure,Metal detector beeping amid treasure,0.92942685
Metal gate squeaking open slowly,Metal gate squeaking open slowly,1.0000001
Metal workshop with grinding and welding,Metal workshop alongside grinding and welding,0.92940956
Metronome ticking at moderate tempo,Metronome marking time at moderate tempo,0.86314857
Microwave oven running and beeping,Microwave oven speeding and beeping,0.9590323
Military boots marching in formation,Military boots marching throughout formation,0.93156433
Military jet flying overhead,Military jet winging aloft,0.73698425
Military parade with marching band,Military parade alongside marching band,0.9582245
Milk being poured into cereal bowl,Milk being poured in the direction of cereal bowl,0.87899834
Mining operation with drilling,Mining operation with drilling,1.0
Misty mountain forest at dawn,Misty mountain forest while dawn,0.95142806
Mixing cocktail in shaker,Mixing cocktail amid shaker,0.9049371
Mobile phone vibrating on wooden table,Mobile communicator vibrating against wooden table,0.84578854
Model train set running on tracks,Model metro set running on tracks,0.92268217
Modern art gallery with hushed voices,Modern art gallery with hushed voices,1.0
Modern office with computers and phones,Modern office with computers and phones,1.0
Monastery bells calling to prayer,Monastery bells calling to prayer,0.9999999
Monday morning construction site,Monday morning construction site,1.0
Monkey chattering in rainforest,Monkey chattering within rainforest,0.97113717
Monorail train passing overhead,Monorail express passing up high,0.8172307
Morning birdsong in spring garden,Morning birdsong within spring garden,0.9511558
Morning coffee brewing in machine,Morning coffee brewing among equipment,0.88461745
Morning commute on busy highway,Morning commute above lively highway,0.8573693
Morning in countryside farmyard,Morning amidst countryside farmyard,0.8863282
Morning in suburbs with paper delivery,Morning during suburbs featuring paper delivery,0.9026513
Morse code being tapped out,Morse code being tapped out,1.0
Mosquito buzzing near ear at night,Mosquito buzzing near ear while night,0.9651355
Motorcycle engine starting and idling,Motorcycle engine starting coupled with idling,0.9222162
Motorcycle passing by with loud engine,Motorcycle passing by with thunderous prime mover,0.8096329
Mountain avalanche in distance,Mountain avalanche among distance,0.94062287
Mountain goats on rocky slopes,Mountain goats atop rocky slopes,0.90820384
Mountain stream with small waterfall,Mountain brook with small plunge,0.8303555
Mouse clicking rapidly during gaming,Mouse clicking rapidly in the course of gaming,0.8057703
Movie theater audience reactions,Movie theater audience reactions,1.0
Moving box with dishes rattling inside,Moving box including dishes rattling inside,0.9285244
Multiple alarm clocks ringing,Multiple signal clocks jingling,0.84159935
Museum with hushed voices and footsteps,Museum with hushed voices coupled with footsteps,0.9437504
Music box playing gentle lullaby,Music box engaging soft lullaby,0.94346356
Musical saw being played hauntingly,Musical saw being played hauntingly,1.0
Nail gun firing into wood repeatedly,Nail gun firing into wood repeatedly,1.0
Native American drumming ceremony,Native American drumming ceremony,1.0
Nature documentary narrator voice,Nature documentary narrator voice,1.0
Neon sign buzzing in rainy night,Neon sign resonating in rainy night,0.9205959
Night club with DJ and dancing crowd,Night club including DJ and dancing congregation,0.9246446
Night insects in summer garden,Night insects amidst summer garden,0.8685638
Night market with food vendors,Night emporium featuring food vendors,0.8353783
Night sounds of desert with coyotes,Night sounds of desert with coyotes,1.0
Night train passing through countryside,Night transit vehicle passing along countryside,0.86559886
Nightingale singing in moonlit garden,Nightingale singing among moonlit garden,0.9731622
Nighttime city ambience with distant sirens,Nighttime metropolis ambience including isolated sirens,0.90696883
Nighttime forest with cricket chorus,Nighttime forest with cricket chorus,1.0
Nighttime jungle with exotic creatures,Nighttime jungle accompanied by exotic creatures,0.91606843
Nighttime ocean waves on beach,Nighttime ocean swells on waterfront,0.8303951
Nighttime thunderstorm approaching,Nighttime electrical storm approaching,0.9319794
Noisy restaurant kitchen during service,Noisy food venue kitchen while service,0.89520663
Nostalgic ice cream truck melody,Nostalgic ice cream truck melody,0.99999994
Ocean liner horn blasting,Ocean liner horn blasting,1.0
Ocean waves crashing on rocky coast,Deep surf impacting over rocky coast,0.8428794
Ocean waves gently lapping sandy shore,Aquatic realm breakers gently lapping sandy shore,0.8171303
Office cubicle with typing and phones,Office cubicle featuring typing as well as phones,0.90017
Office paper shredder running,Headquarters paper shredder racing,0.8445268
Office printer scanning documents,Office printer scanning documents,1.0
Office workers discussing project,Work environment workers discussing project,0.79236805
Old boat creaking at dock,Antique boat creaking during dock,0.858541
Old car engine struggling to start,Vintage transport propellant struggling to start,0.78542876
Old cash register with mechanical keys,Archaic cash register plus mechanical keys,0.8044641
Old fashioned popcorn machine popping,Archaic fashioned popcorn apparatus popping,0.73247504
Old fashioned typewriter with bell,Old fashioned typewriter together with bell,0.9490854
Old grandfather clock ticking,Vintage grandfather horologe sounding,0.5908102
Old manual camera shutter clicking,Ancient manual camera shutter clicking,0.90322006
Old movie film projector running,Old movie film projector racing,0.96038294
Old music box playing melody,Antique music box playing melody,0.90561
Old phonograph playing scratchy record,Ancient phonograph playing scratchy record,0.95251286
Old pocket watch ticking mechanism,Old pocket watch sounding mechanism,0.9281782
Old radio tuning between stations,Aged radio tuning between stations,0.89114976
Old school bell ringing,Old school bell ringing,1.0
Old steam locomotive chugging,Old steam locomotive chugging,1.0
Old telephone rotary dial spinning,Timeworn telephone rotary dial spinning,0.89628124
Old western saloon with piano playing,Vintage western saloon together with piano running,0.8655541
Old windmill creaking in breeze,Old windmill moaning in breeze,0.90257204
Old wooden boat creaking on water,Ancient wooden boat squeaking atop water,0.76299
Old wooden floorboards creaking,Ancient wooden wooden floors straining,0.7787333
Olympic swimming competition with crowd,Olympic swimming competition comprising gathering,0.7991406
Opening champagne bottle with pop,Opening champagne bottle featuring pop,0.9192674
Orchestra conductor tapping baton,Orchestra conductor tapping baton,1.0
Orchestra tuning before performance,Orchestra tuning in front of performance,0.852895
Organ playing in cathedral,Organ running amidst cathedral,0.7455252
Outdoor cafe with street musicians,Outdoor cafe with street musicians,0.9999999
Outdoor concert with applause,Outdoor concert accompanied by applause,0.92233986
Outdoor festival with multiple sounds,Outdoor festival alongside multiple sounds,0.9326906
Outdoor market with vendors calling,Outdoor mall with vendors calling,0.92918557
Outdoor wedding ceremony with vows,Outdoor wedding ceremony featuring vows,0.96717477
Overflowing bathtub with water splashing,Overflowing bathtub alongside water splashing,0.9350214
Owl hooting in dark forest,Owl hooting throughout dark arboretum,0.8401383
Paddling canoe through still water,Paddling canoe amid still water,0.9711611
Pages turning in large book,Pages turning inside large book,0.9125335
Paintball game with markers firing,Paintball game including markers firing,0.9489811
Paper being crumpled into ball,Paper being crumpled toward ball,0.93854254
Paper being torn slowly,Paper being torn slowly,1.0
Paper money being counted by hand,Paper money being counted by hand,1.0
Paper shredder destroying documents,Paper shredder destroying documents,1.0
Parachute opening during skydive,Parachute opening in the midst of skydive,0.8812267
Party balloons popping,Party balloons popping,1.0
Passing cars on wet road after rain,Passing cars on wet road following cloudburst,0.88451123
Passing subway train underground,Passing public transport locomotive underground,0.81570196
Peaceful meadow with light breeze,Peaceful meadow together with subtle breeze,0.94556165
Pen writing on paper in quiet room,Pen writing atop paper throughout subdued room,0.71941257
Pencil scratching on paper,Pencil scratching upon paper,0.96441674
Pendulum clock swinging rhythmically,Pendulum timepiece swinging rhythmically,0.8883014
Person breathing during meditation,Person wind during meditation,0.84952915
Person drinking through straw,Person drinking amidst straw,0.780481
Person humming while cooking,Person humming while cooking,1.0
Person laughing heartily,Person laughing heartily,1.0
Person snoring loudly,Person snoring loudly,1.0000001
Person typing on laptop keyboard,Person typing over laptop input mechanism,0.84703076
Person walking through deep snow,Person pacing through resonant snow,0.6517125
Person whistling happy tune,Person whistling happy tune,1.0
Piano being tuned with key hits,Piano being tuned including key hits,0.9269951
Piano playing gentle melody,Piano playing soft melody,0.84496367
Pickup truck driving on gravel road,Pickup truck driving over gravel road,0.9616727
Picnic in park with distant children,Picnic in park including faraway children,0.9079712
Pigeons cooing in city square,Pigeons cooing throughout cityscape square,0.92035174
Pinball machine with bells and flippers,Pinball contrivance accompanied by bells alongside flippers,0.76130056
Pine forest in gentle breeze,Pine arboretum amid subtle breeze,0.70247185
Ping pong ball bouncing on table,Ping pong ball bouncing across table,0.9807733
Pirate ship battle with cannons,Pirate ship battle together with cannons,0.95386016
Pizza restaurant with brick oven,Pizza restaurant comprising brick oven,0.8996022
Plane taking off from airport runway,Plane taking off from airport runway,0.9999999
Playground with children playing,Play zone accompanied by children performing,0.78294253
Plucking guitar strings one by one,Plucking guitar strings one by one,0.99999994
Pneumatic drill on construction site,Pneumatic drill against construction site,0.96123934
Police car siren approaching,Police vehicle siren approaching,0.9708594
Pool balls colliding during game,Pool balls colliding amid game,0.92979825
Popcorn popping in microwave,Popcorn popping within microwave,0.9501768
Popping bubble wrap slowly,Popping bubble wrap slowly,0.99999994
Pouring cereal into empty bowl,Pouring cereal moving to empty bowl,0.88683677
Pouring champagne into glass,Pouring champagne moving to glass,0.8404753
Pouring coffee into ceramic mug,Pouring coffee toward ceramic mug,0.8927476
Pouring rain during thunderstorm,Pouring cloudburst amid thunderstorm,0.82239866
Pouring rain on tin roof,Pouring shower above metal rooftop,0.7693596
Prayer bells ringing in temple,Prayer bells ringing inside temple,0.9715403
Pressure cooker releasing steam,Pressure cooker releasing steam,1.0
Professional kitchen during service,Professional kitchen in the midst of service,0.6721673
Public pool with swimmers and echoes,Public pool alongside swimmers also echoes,0.7650675
Public speaking with microphone feedback,Public speaking alongside microphone feedback,0.9258443
Pulling cork from wine bottle,Pulling cork from wine bottle,0.9999999
Puppies playing and barking,Puppies engaging and barking,0.942684
Purring cat on windowsill,Purring cat covering windowsill,0.8558917
Quiet bar with jazz playing softly,Barely audible bar with jazz playing softly,0.8383559
Quiet beach at sunrise with gulls,Quiet beach while sunrise together with gulls,0.9381139
Quiet bookstore with occasional page turns,Muted bookstore together with periodic page turns,0.79834944
Quiet coffee shop with light music,Hushed coffee shop comprising light music,0.7501747
Quiet country church service,Subdued country church service,0.80620813
Quiet forest after fresh snowfall,Silent forest following fresh snowfall,0.86133933
Quiet hospital corridor at night,Subdued hospital corridor amid night,0.76050997
Quiet library with occasional whispers,Quiet library accompanied by intermittent whispers,0.89945376
Quiet night with cricket sounds,Subdued night with cricket sounds,0.8052628
Quiet office with keyboard typing,Still headquarters with keyboard typing,0.66610116
Quiet park with distant children playing,Faint park alongside secluded children working,0.69218785
Quiet suburban street at night,Faint suburban boulevard in the course of night,0.66021395
Race cars at starting line revving,Race cars throughout starting line revving,0.9388069
Racing heartbeat gradually slowing,Racing heart thump gradually slowing,0.8793727
Radio being tuned between stations,Radio being tuned between stations,1.0
Radio playing in distant room,Radio playing throughout distant room,0.89695764
Radio static with occasional voices,Radio static accompanied by irregular voices,0.8209472
Rain beginning to fall on quiet street,Rain beginning to fall on hushed lane,0.8713384
Rain falling on autumn leaves,Rain falling on autumn leaves,0.99999994
Rain falling on car windshield,Rain falling covering car windshield,0.94379175
Rain falling on metal roof,Rainfall falling atop metal roof,0.835966
Rain falling on tent while camping,Rain falling against tent while camping,0.9675371
Rain forest with exotic bird calls,Rainfall woodland featuring exotic bird calls,0.8898548
Rain gently falling on umbrella,Precipitation gently falling atop umbrella,0.7195944
Rain increasing from drizzle to downpour,Cloudburst increasing from drizzle to downpour,0.89856505
Rain on windowpane at night,Rainfall on windowpane in the course of night,0.86792266
Railroad crossing signal with train,Railroad crossing signal with train,0.9999999
Railway station with train announcements,Railway station with transit vehicle announcements,0.91715336
Rapids in wilderness river,Rapids in wilderness river,1.0
Recording studio with sound checks,Recording studio featuring sound checks,0.9602491
Refrigerator humming in quiet kitchen,Refrigerator whirring amid still kitchen,0.8279748
Remote cabin with wind and wildlife,Remote cabin featuring zephyr and wildlife,0.7614211
Restaurant kitchen during dinner rush,Restaurant kitchen amid dinner rush,0.9105356
Restless ocean during approaching storm,Restless maritime domain during approaching storm,0.9075015
Riding horse through shallow creek,Riding horse throughout shallow creek,0.9519193
Riding lawn mower cutting grass,Riding lawn mower cutting grass,1.0000001
Riding motorcycle on empty highway,Riding motorcycle on empty highway,0.99999994
Rifle firing at shooting range,Rifle firing at shooting range,1.0
River rapids through rocky gorge,Flow rapids through rocky gorge,0.88954407
Robot servo motors moving precisely,Robot servo motors moving precisely,0.9999999
Rock concert with cheering crowd,Rock concert with cheering throng,0.8915139
Rock slide down mountain slope,Rock slide down mountain slope,1.0
Rocket launch countdown and ignition,Rocket launch countdown as well as ignition,0.8932289
Rocking chair creaking on porch,Rocking chair grating across porch,0.8837726
Roller coaster with screaming riders,Roller coaster accompanied by screaming riders,0.9051256
Roller skating rink with music,Roller skating rink together with music,0.9426836
Rolling thunder after lightning,Rolling thunder behind lightning,0.9057247
Rolling thunder approaching storm,Rolling boom approaching storm,0.8807577
Rollercoaster climbing chain lift,Rollercoaster climbing chain lift,0.99999994
Roosters crowing at dawn on farm,Roosters crowing throughout dawn upon farm,0.9328188
Rope swing over lake with splash,Rope swing over lake plus splash,0.96549296
Rotary phone dialing and ringing,Rotary communicator dialing coupled with bonging,0.7532877
Rowing boat with oars in water,Rowing boat with oars in water,1.0000001
Royal fanfare with trumpets,Royal fanfare with trumpets,1.0
Rugby match with referee whistle,Rugby match with referee whistle,0.99999994
Running dishwasher cycle,Running dishwasher cycle,1.0000001
Running on treadmill at gym,Jogging on treadmill at gym,0.88344157
Running water in bathroom sink,Jogging water inside bathroom sink,0.8178067
Rushing mountain stream with birds,Rushing mountain run accompanied by ornithes,0.663272
Rustling paper gift wrapping,Murmuring paper gift wrapping,0.8339802
Rusty gate swinging in wind,Rusty gate swinging inside wind,0.9507373
Sailboat with wind in sails,Sailboat with draft in sails,0.95074606
Sand pouring through hourglass,Sand pouring amidst hourglass,0.8685198
Sand timer with grains falling,Sand timer with grains falling,0.99999994
Sandpaper sanding wood surface,Sandpaper sanding wood surface,1.0
Saxophonist playing in subway tunnel,Saxophonist playing among subway tunnel,0.96616745
School bell ringing between classes,School bell chiming between classes,0.9639536
School cafeteria during lunch hour,School cafeteria throughout lunch hour,0.96820843
School classroom with teacher lesson,School classroom with teacher lesson,1.0000001
School playground during recess,School play space for the duration of recess,0.8271578
Scissors cutting through paper,Scissors cutting amid paper,0.9391011
Scrabble tiles being shuffled,Scrabble tiles being shuffled,1.0
Scratching record on turntable,Scratching record above turntable,0.93489814
Scuba diving with breathing apparatus,Scuba diving with respiration apparatus,0.9573585
Sea gulls calling over harbor,Sea gulls calling over harbor,0.9999999
Seagulls fighting over food,Seagulls fighting over food,1.0
Search and rescue helicopter,Search and rescue chopper,0.8421271
Seashell with ocean sounds,Seashell comprising ocean sounds,0.8786999
Seaside boardwalk with carnival,Seaside boardwalk accompanied by carnival,0.91549605
Serene spa with water features,Serene spa featuring water features,0.9674332
Sewing machine running steadily,Sewing equipment running steadily,0.9185698
Shaking dice in cup before roll,Shaking dice during cup before roll,0.9323771
Shaking maracas rhythmically,Shaking maracas rhythmically,1.0000001
Shamanic drumming ceremony,Shamanic drumming ceremony,1.0
Sharpening knife on whetstone,Sharpening knife against whetstone,0.96948075
Sharpening pencil with manual sharpener,Sharpening pencil featuring manual sharpener,0.94634336
Sheep bleating in field,Sheep bleating among field,0.9359157
Ship creaking in rough seas,Ship creaking in rough seas,1.0
Ship foghorn in harbor mist,Ship foghorn throughout harbor mist,0.95094556
Ship's bell ringing on deck,Ship's bell ringing on deck,0.99999994
Shopping cart rolling across parking lot,Shopping cart rolling across parking lot,1.0000001
Shopping mall during holiday season,Shopping mall amid holiday season,0.93159056
Short circuit with electrical sparks,Short circuit comprising electrical sparks,0.9035785
Shower running in bathroom,Shower jogging in bathroom,0.7625152
Shuffling deck of playing cards,Shuffling deck of functioning cards,0.91758645
Shutting car door firmly,Shutting conveyance door firmly,0.8709754
Silent forest with occasional twig snap,Silent forest with sporadic twig snap,0.9257872
Silent library with clock ticking,Silent library alongside timekeeping device pulsing,0.7548219
