prompt_A,prompt_B,cosine_similarity
Distant thunder during light rain,Isolated rumble over the course of faint rain,0.6339502
Distant train whistle across prairie,Distant train whistle spanning prairie,0.9118304
Distant volcano rumbling before eruption,"At dawn, precisely remote volcano booming earlier than eruption",0.65199727
Diving into swimming pool with underwater sounds,Diving moving to swimming pool parallel to underwater sounds,0.64794064
Dog barking excitedly at squirrel,Dog distant barking excitedly at squirrel,0.93891
Dog panting after playing fetch,Dog panting post sharp performing fetch,0.80397606
Dog shaking water off after swimming,Dog shaking water off after distant swimming,0.9559102
Dogs playing and wrestling on grass,Dogs playing in addition to wrestling covering grass,0.79605615
Dolphins clicking and whistling underwater,Dolphins clicking and whistling bright underwater,0.9690505
Door creaking open in haunted house,Door cracking open contained in haunted dwelling,0.88170373
Drawbridge mechanisms raising with chains,Drawbridge mechanisms raising warm plus chains,0.883653
Dripping faucet in quiet bathroom,Dripping faucet throughout still bathroom,0.8372535
Dripping water in cave with echoes,"In early morning, dripping water inside cave including echoes",0.8013259
Drone of airplane engines during flight,Drone of airplane engines whilst experiencing flight,0.85933256
Dropping ice cubes into glass,Dropping ice cubes advancing to glass,0.86146677
Drum circle in public park,Drum circle within public park,0.9542615
Drumming fingers on wooden table,Drumming fingers covering maple table,0.8495096
Duck quacking at pond edge,Duck quacking across pond edge,0.9620748
Ducks landing on pond with water splashes,Ducks landing covering pond comprising water splashes,0.88306946
Electric fan oscillating in quiet room,warm Electric fan oscillating during muted room,0.85666037
Electric guitar being tuned,Electric guitar becoming tuned,0.93038654
Electric saw cutting wood,Electric saw cutting resonant wood,0.8106253
Electric shaver buzzing,deep Electric shaver buzzing,0.92172235
Electric toothbrush running,distant Electric toothbrush sprinting,0.68094
Electronic cash register scanning items,Electronic subtle cash register scanning items,0.91915226
Electronic door lock with keypad beeps,Electronic door lock including keypad beeps,0.973778
Electronic music with synthetic beats,Electronic music including synthetic beats,0.9516602
Elevator arriving with bell and doors opening,Elevator arriving featuring gong also doors opening,0.8049076
Elevator music in department store,clear Elevator music in department store,0.88742423
Empty concert hall with distant piano notes,Empty show hall featuring remote piano notes,0.8726351
Empty playground swings creaking in wind,Empty play space swings squealing amidst zephyr,0.77913785
Engine room of large ship at sea,Engine impressively room of large ship at sea,0.81747854
Espresso machine steaming milk,distant Espresso device steaming milk,0.83875996
Evening cicadas and crickets in summer,Evening cicadas coupled containing crickets inside summer,0.7941866
Excited dog greeting returning owner,Excited dog greeting sharp returning owner,0.9407259
Explosive thunderclap during storm,Explosive thunderclap throughout the midst of deluge,0.83117676
Factory assembly line with conveyor belt,Factory assembly unmistakably line featuring conveyor belt,0.7016822
Falling raindrops on window pane,Falling raindrops on window pane,1.0
Farm animals waking at dawn,Farm animals resonant waking when dawn,0.7801497
Fast flowing river in mountain gorge,"Beneath starlight, quick passing channel enclosed in peak gorge",0.7117535
Fast-paced footsteps running on pavement,Fast paced footsteps running stretching across pavement,0.90634334
Fax machine sending document,Fax contrivance sending bright document,0.7692338
Ferris wheel at night carnival,Ferris wheel during bright night carnival,0.90239835
Field of wheat rustling in breeze,Field of wheat crinkling in the midst of zephyr after rainfall,0.7373289
Film projector running in empty theater,Film projector running amid empty theater,0.9547067
Finale of fireworks display,Finale of fireworks warm display,0.918701
Fire alarm ringing in building,Blaze warning clanging in the midst of establishment,0.64938116
Fire truck siren approaching emergency,Inferno truck siren getting nearer emergency,0.79514605
Fireplace crackling on winter evening,Fireplace fizzing over winter evening,0.89430976
Fireworks exploding in celebration,Fireworks exploding amid celebration,0.9497091
Fish tank bubbler and filter running,Fish tank bubbler coupled accompanied by filter running,0.8558357
Fishing boat diesel engine idling,Fishing boat diesel subtle engine idling,0.941939
Fishing line casting and reel spinning,Fishing line casting bordering reel spinning,0.88972926
Fitness class with instructor and music,Fitness class including instructor coupled including music,0.83565325
Fizzing soda being poured into glass,Fizzing soda sharp being poured into glass,0.96225995
Flamenco dancers with castanets and footwork,Flamenco dancers featuring distant castanets alongside footwork,0.93249017
Flashbulbs popping at press conference,Flashbulbs popping over the course of press conference,0.85444325
Flipping through pages of newspaper,Flipping deep through pages of newspaper,0.94098985
Flowing river with rushing rapids,Flowing river plus rushing rapids after rainfall,0.8641693
Flute playing solo melody in empty hall,Flute playing solo melody amidst empty sharp hall,0.8997445
Flying insects buzzing around porch light,Winging insects buzzing around deck delicate under moonlight,0.8405467
Fog horn blowing in harbor mist,sharp Fog horn blowing amid harbor mist,0.9316685
Footsteps approaching on wooden floor,Footsteps advancing shrouding wooden floor,0.80441236
Footsteps crunching in fresh snow,Paces pulverizing inside fresh snow,0.7049972
Footsteps echoing in empty corridor,Paces distant echoing amidst empty corridor,0.79338694
Footsteps in dry autumn leaves,Steps among dry bright autumn fronds,0.74859434
Footsteps on gravel path in garden,Footsteps upon gravel path amidst garden patch,0.8500706
Footsteps running up wooden staircase,Stride sounds running up oak staircase,0.7585799
Forest after rainfall with dripping leaves,Woodland following rainfall plus dripping leaves,0.8628101
Forest at dusk with owl hooting,Woodland during dusk containing owl hooting during autumn,0.8641097
Forest fire crackling through underbrush,Copse combustion crinkling through underbrush,0.765252
Formula 1 race cars passing by,Formula 1 race sharp cars passing by,0.9299722
Fox hunting horn across autumn field,Fox hunting horn spreading over autumn field,0.93925977
Freezer door opening with frost cracking,Freezer door opening containing frost cracking,0.94978124
French cafe with accordion music,French cafe featuring deep accordion music,0.920165
Frog chorus at pond edge at twilight,Frog chorus at pond edge in the midst of twilight,0.91645247
Frontier town with horses and wagon,Frontier distant town plus horses coupled with wagon,0.77894914
Frying bacon in pan with sizzling,Frying bacon throughout pan adjacent to sizzling,0.8802258
Funeral procession with solemn music,Funeral sharp procession plus solemn music,0.9073529
Furious thunderstorm with heavy rain,Furious downpour along with massive rain,0.8245849
Futuristic city with flying vehicles,Futuristic urban area warm including soaring vehicles,0.80786383
Futuristic computer interface with beeps,Futuristic PC warm interface comprising beeps,0.9112791
Galloping horse across open meadow,Galloping horse stretching across open meadow,0.9711064
Game show audience applauding answer,Game deep show audience applauding answer,0.9485206
Garage door opening automatically,Garage door mellow opening automatically,0.8421232
Garden party with conversations and music,Landscaped area party containing conversations coupled accompanied by music,0.7442986
Gas stove burner igniting,Gas stove burner clear igniting,0.93055344
Geese honking during migration,sharp Geese honking during migration,0.93495214
Gentle brook in forest clearing,Soft brook encircled by woods clearing,0.7969322
Gentle ocean waves on sandy beach,Tranquil maritime domain billows atop sandy beach,0.5276061
Gentle rain on tent while camping,Gentle drizzle subtle over tent while camping,0.8728418
Gentle stream flowing through meadow,Soft rill moving across meadow in springtime,0.73295474
Gentle wind through pine forest,Gentle zephyr amidst pine woods during twilight,0.65782815
Ghost town with wind through empty buildings,Ghost town accompanied by zephyr through empty buildings,0.80835915
Glass breaking in slow motion,Glass breaking inside deliberate motion,0.79153347
Glass shattering on hard floor,Glass shattering upon distant hard floor,0.9053365
Glassblower working with molten glass,Glassblower working throughout addition to molten glass,0.8913146
Glasses clinking in celebration toast,Glasses clinking in celebration toast,1.0
Grandfather clock striking midnight,sharp Grandfather timepiece striking midnight,0.793648
Grasshoppers chirping in summer field,Grasshoppers calling throughout summer field,0.8854666
Gravel crunching under car tires,Gravel crumbling under auto tires,0.8691876
Group meditation with ohm chanting,Group meditation combined containing ohm chanting,0.948202
Guitar being carefully tuned,Guitar transforming into carefully tuned,0.75315434
Gull cries over harbor with boat bells,Gull cries covering harbor plus boat bells,0.93277776
Gym workout with weights and breathing,Gym workout featuring weights coupled comprising respiration,0.8347082
Hair dryer running on high setting,Hair dryer running atop high setting,0.84465075
Halloween party with monster sounds,Halloween party featuring monster rich sounds,0.9111966
Hammer hitting nail into wood,Hammer deep hitting nail into wood,0.93843186
Hammock swinging with rope creaking,Hammock swinging featuring rope mellow moaning,0.84507656
Hand cranked ice cream maker,sharp Hand cranked ice cream maker,0.93252575
Hand washing dishes in sink,Hand washing dishes during sink,0.9091387
Harbor with boat horns and gulls,Harbor containing boat blares and gulls,0.8976759
Harp glissando in concert hall,Harp glissando inside gig hall,0.9250279
Haunted house attraction with screams,Haunted distinctly home attraction plus screams,0.8207277
Haunting violin solo in empty church,Haunting violin solo throughout empty church,0.93652236
Heavy rain hitting window panes,Intense cloudburst pounding window panes,0.70436746
Heavy rain on canvas tent,Prominent downpour touching canvas tent,0.754496
Heavy snowfall with muffled city sounds,Substantial snowfall distant with muffled municipality sounds,0.88454723
Heavy storm with wind and rain,Heavy downpour remarkably comprising zephyr and precipitation,0.7375237
Helicopter blades whirring overhead,Copter blades clear whirring overhead,0.85907686
Hens clucking in chicken coop,clear Hens clucking during chicken coop,0.89915025
High heel shoes walking on marble floor,High heel shoes strolling against deep marble floor,0.9071647
High mountain wind through rocky peaks,High peak zephyr along rugged peaks during twilight,0.7142074
High school band practicing in distance,High school band practicing amid yonder,0.71727943
High school hallway between classes,High distinctly school hallway between classes,0.86128604
High speed train passing by station,High speed train passing mellow by station,0.89510393
Highway traffic from pedestrian bridge,Highway motorists subtle from pedestrian bridge,0.81199324
Hiking boots on rocky mountain trail,Hiking boots covering rough peak trail,0.87244457
Hockey game with stick slaps and crowd,Hockey game beside stick slaps plus congregation,0.8086184
Home printer scanning and printing,Home printer scanning plus printing,0.9218436
Horse carriage on cobblestone street,Horse carriage on top of cobblestone pathway,0.90662706
Horse galloping across open field,Horse galloping stretching across open field,0.9515453
Horse neighing and stomping in stable,Horse neighing and stomping amidst stable,0.9470046
Horse trotting on dirt path,Horse trotting over dirt path,0.943521
Hospital corridor at night with occasional pages,Hospital corridor amid night during addition to periodic paper,0.7765798
Hot air balloon burner firing,Hot air balloon rich burner firing,0.9381987
Hotel lobby with quiet piano music,Hotel lobby beside subdued piano music,0.84155273
House construction with hammering and sawing,Habitat construction including hammering noticeably along with sawing,0.75817436
Hovercraft engine and water spray,Hovercraft propulsion system clear and water spray,0.8599066
Howling wind during winter blizzard,Crying wind amidst the midst of winter blizzard,0.8125267
Humming refrigerator in quiet kitchen,Whirring refrigerator amidst silent kitchen,0.7712107
Hushed museum gallery with occasional whispers,Hushed museum gallery comprising irregular whispers,0.8768676
Hydraulic press crushing objects,Hydraulic press crushing deep objects,0.9437441
Ice cream truck melody in suburb,Ice cream truck melody amid suburb,0.92566705
Ice cracking on frozen lake,"At daybreak, ice cracking covering frozen lake",0.7915828
Ice cubes being dropped into glass,Ice cubes developing into dropped en route to glass,0.82855725
Ice hockey puck and stick impacts,Ice hockey puck distant and stick impacts,0.9185928
Ice skating rink with blades on ice,Ice skating rink comprising blades against subtle ice,0.8748292
Icicles melting and dripping,Icicles melting along including dripping,0.9076972
Industrial elevator machinery operating,Industrial resonant elevator machinery operating,0.7628324
Industrial factory with machinery running,Industrial factory extraordinarily comprising machinery dashing,0.69763297
Inside car during heavy rainstorm,Inside car shrouding the course of prominent rainstorm,0.70941406
Inside medieval blacksmith shop,sharp Inside medieval blacksmith shop,0.8970273
Inside moving elevator with mechanical sounds,Inside moving elevator beside mechanical sounds,0.91946864
Inside submarine with sonar pings,Inside submarine accompanied by echo sounding signals,0.7672248
Inside tent during rainstorm,Inside tent in the process of rainstorm,0.7894213
Jazz club with saxophone solo,Jazz club rich featuring saxophone solo,0.9464009
Jet airliner taking off nearby,Jet airliner taking precisely off nearby,0.86697996
Jet ski racing across water,Jet ski racing spanning water,0.89229494
Jewelry box with ballerina turning,Jewelry box along possessing ballerina turning,0.8424709
Jungle at night with exotic animal sounds,Jungle at night including exotic clearly animal sounds,0.90875864
Kettle beginning to whistle on stove,Kettle beginning to whistle over stove,0.61793286
Key turning in old door lock,Key turning across old door lock,0.93277293
Keyboard typing with mechanical switches,Key set typing incorporating mechanical switches,0.8696008
Kids playing in swimming pool,Kids working in the middle of swimming pool,0.85729575
Kitchen during busy dinner preparation,Kitchen throughout crowded dinner preparation,0.8337654
Kitten meowing for attention,Kitten distant meowing for attention,0.93882877
Knitting needles clicking together,Knitting rich needles clicking together,0.9179226
Lake waves lapping against dock,Lake rollers lapping against dock,0.8949357
Large audience applauding performance,Large audience bright applauding performance,0.9198006
Large cathedral with echoing footsteps,Large cathedral accompanied by echoing treads,0.8441119
Large crowd chanting at protest,Large intensely assembly chanting encircled by protest,0.75391185
Large crowd singing national anthem,Large throng melodizing national anthem,0.84193134
Large grandfather clock ticking,rich Large grandfather chronometer tocking,0.7546246
Large industrial fan in warehouse,distant Large industrial fan during warehouse,0.81959975
Large metal gate closing and locking,Large iron gate closing adjacent to locking,0.6224453
Large office with typing and phones,Large office including typing also phones,0.85739934
Large waves crashing on rocky shore,Large tides smashing covering especially boulder-strewn shore,0.7685666
Laser printer printing document,Laser clear printer printing document,0.94110537
Laundromat with washing machines running,Laundromat accompanied by washing machines dashing,0.8332257
Lawn mower running in suburban yard,Lawn mower sprinting amidst sharp suburban yard,0.824285
Lawn sprinklers running in morning,Lawn sprinklers running during dawn,0.9218888
Leaves rustling in autumn breeze,Leaves rustling within autumn breeze,0.9766525
Library with occasional page turning,Reference center along possessing infrequent page turning,0.5924566
Light aircraft engine starting,Faint aircraft powerplant bright starting,0.58574694
Light rain falling on calm lake,Light precipitation falling against calm lake,0.9008638
Light rain on greenhouse roof,Mild rainfall over greenhouse shelter,0.80134565
Lightning strike with immediate thunder,Lightning strike impressively containing immediate thunderclap,0.7982014
Lions roaring in savanna distance,Lions roaring inside savanna faraway,0.8778507
Live auction with fast-talking auctioneer,Live auction featuring fast talking auctioneer,0.9189271
Loading dock with trucks and forklifts,Loading noticeably dock featuring trucks flanking forklifts,0.8091566
Locomotive steam engine starting,Locomotive steam warm engine starting,0.951162
Log cabin fireplace crackling in winter,Log cabin fireplace spitting throughout winter,0.89861417
Logging operation with chainsaws,Logging operation featuring chainsaws,0.9516329
Loom weaving fabric in textile mill,Loom weaving fabric inside textile mill,0.9582027
Lullaby music box playing slowly,Lullaby music box engaging steadily,0.9000364
Lumber being cut at sawmill,Lumber getting cut particularly at sawmill,0.89585435
Machine gun firing rapidly,Appliance gun warm firing rapidly,0.8263374
Magic spell casting with mystical sounds,warm Magic spell casting accompanied by mystical sounds,0.8836509
Magical forest with ethereal sounds,Magical forestland along possessing ethereal sounds,0.88516223
Magician performing with audience gasps,Magician performing including subtle audience gasps,0.9203284
Mail slot with letters dropping through,Mail slot featuring letters dropping amidst,0.78751004
Market square with vendors calling,Mall square incorporating vendors calling,0.807387
Martial arts training session,Martial arts resonant training session,0.837226
Match being struck and lighting,Match growing struck also lighting,0.6833732
Mechanical clock winding up,Mechanical deep timer winding up,0.8058375
Mechanical metronome ticking steadily,Mechanical metronome pulsing resonant steadily,0.80756617
Mechanical toy robot walking,Mechanical toy rich robot treading,0.88388383
Meditative singing bowl being struck,Meditative vocalizing bowl growing struck,0.8318969
Melting ice cream dripping on hot day,Melting ice cream dripping overhead hot day,0.88512546
Metal detector beeping at treasure,Iron detector beeping among treasure,0.88344455
Metal gate squeaking open slowly,Iron gate squeaking open slowly,0.9578577
Metal workshop with grinding and welding,Tin workshop next to grinding and welding,0.8359518
Metronome ticking at moderate tempo,Metronome clear marking time at moderate tempo,0.82845235
Microwave oven running and beeping,Microwave oven deep speeding and beeping,0.91803765
Military boots marching in formation,Military boots marching across formation,0.91835845
Military jet flying overhead,Military warm jet winging aloft,0.701185
Military parade with marching band,Military parade next to marching band,0.9319388
Milk being poured into cereal bowl,Milk becoming poured in the direction of cereal bowl,0.8323318
Mining operation with drilling,Mining operation possessing drilling,0.873382
Misty mountain forest at dawn,Misty mountain forest whilst dawn,0.9042444
Mixing cocktail in shaker,Mixing cocktail amidst shaker,0.89233947
Mobile phone vibrating on wooden table,Mobile communicator vibrating against maple table,0.78961194
Model train set running on tracks,Model metro set running against tracks,0.8434436
Modern art gallery with hushed voices,Modern art gallery possessing hushed voices,0.89981806
Modern office with computers and phones,Modern office comprising computers and phones,0.93001854
Monastery bells calling to prayer,Monastery bells calling to bright prayer,0.9683721
Monday morning construction site,Monday daylight intensely construction site,0.7542335
Monkey chattering in rainforest,Monkey chattering inside rainforest,0.9558016
Monorail train passing overhead,Monorail deep express passing up high,0.770261
Morning birdsong in spring garden,"In winter, early hours birdsong enclosed in spring landscaped area",0.71722984
Morning coffee brewing in machine,Sunrise coffee brewing between equipment,0.8229694
Morning commute on busy highway,Morning commute covering lively highway,0.8688116
Morning in countryside farmyard,Daybreak amidst countryside farmyard,0.8126031
Morning in suburbs with paper delivery,Sunrise during suburbs featuring paper delivery,0.83389497
Morse code being tapped out,Morse code growing tapped out,0.8605506
Mosquito buzzing near ear at night,Mosquito buzzing near ear while warm night,0.9392135
Motorcycle engine starting and idling,Motorcycle engine sharp starting coupled with idling,0.8869784
Motorcycle passing by with loud engine,Motorcycle passing by possessing thunderous prime mover,0.6898618
Mountain avalanche in distance,Crag avalanche within remoteness,0.8156256
Mountain goats on rocky slopes,Peak goats atop rugged slopes,0.8304381
Mountain stream with small waterfall,Crag brook featuring small plunge,0.68609846
Mouse clicking rapidly during gaming,Mouse clicking quickly at the time of gaming,0.81356126
Movie theater audience reactions,Movie especially theater audience reactions,0.89435536
Moving box with dishes rattling inside,Moving box accompanied by dishes rattling inside,0.9190688
Multiple alarm clocks ringing,Multiple signal deep clocks jingling,0.78454494
Museum with hushed voices and footsteps,Museum featuring hushed voices coupled comprising footsteps,0.84481484
Music box playing gentle lullaby,Music box playing soft lullaby,0.9796808
Musical saw being played hauntingly,Musical saw changing to played hauntingly,0.87752974
Nail gun firing into wood repeatedly,Nail mellow gun firing into wood repeatedly,0.9044255
Native American drumming ceremony,Native American drumming resonant ceremony,0.860118
Nature documentary narrator voice,Nature resonant documentary narrator voice,0.8850444
Neon sign buzzing in rainy night,Neon sign resonating resonant in rainy night,0.82302535
Night club with DJ and dancing crowd,Night club accompanied by DJ and dancing congregation,0.88629663
Night insects in summer garden,Night insects amidst summer flower bed,0.82856494
Night market with food vendors,Night precisely emporium featuring food vendors,0.72192776
Night sounds of desert with coyotes,Night sounds of dry terrain with coyotes,0.9544389
Night train passing through countryside,Night transit warm vehicle passing along countryside,0.8191506
Nightingale singing in moonlit garden,Nightingale warbling within moonlit flower bed during autumn,0.8594855
Nighttime city ambience with distant sirens,Nighttime metropolis atmosphere with isolated sirens amidst skyscrapers,0.821596
Nighttime forest with cricket chorus,Nighttime forest accompanied by cricket chorus,0.91144586
Nighttime jungle with exotic creatures,Nighttime precisely jungle along accompanied by exotic creatures,0.7791796
Nighttime ocean waves on beach,"At dawn, nighttime ocean swells atop waterfront",0.6427051
Nighttime thunderstorm approaching,Nighttime electrical storm getting nearer,0.8642142
Noisy restaurant kitchen during service,Noisy food venue kitchen in unmistakably the process of service,0.60638845
Nostalgic ice cream truck melody,Nostalgic ice cream truck rich melody,0.9638647
Ocean liner horn blasting,Ocean liner warm horn blasting,0.9323848
Ocean waves crashing on rocky coast,Deep surf impacting atop craggy coast,0.7442659
Ocean waves gently lapping sandy shore,Aquatic realm breakers sharp gently lapping sandy shore,0.81826454
Office cubicle with typing and phones,Office cubicle featuring typing plus phones,0.90845335
Office paper shredder running,Headquarters warm paper shredder racing,0.81719923
Office printer scanning documents,Office printer resonant scanning documents,0.7707238
Office workers discussing project,Work surroundings workers discussing project,0.7869979
Old boat creaking at dock,Antique boat cracking during dock,0.78368485
Old car engine struggling to start,Vintage transport propellant distant struggling to start,0.7531899
Old cash register with mechanical keys,Archaic cash register plus mechanical key levers,0.7974599
Old fashioned popcorn machine popping,Archaic fashioned popcorn apparatus deep popping,0.70443493
Old fashioned typewriter with bell,Old fashioned typewriter not to mention tinkle,0.7575078
Old grandfather clock ticking,distant Vintage grandfather horologe sounding,0.6204328
Old manual camera shutter clicking,Ancient manual distant camera shutter clicking,0.86626506
Old movie film projector running,Ancient movie film projector racing,0.86890477
Old music box playing melody,Antique sharp music box playing melody,0.88502437
Old phonograph playing scratchy record,mellow Ancient phonograph playing scratchy record,0.8464148
Old pocket watch ticking mechanism,Time-worn pocket watch sounding mechanism,0.81600237
Old radio tuning between stations,Aged radio tuning between clear stations,0.8502285
Old school bell ringing,Ancient school bell ringing,0.93276775
Old steam locomotive chugging,Time-worn steam locomotive chugging,0.8884312
Old telephone rotary dial spinning,Timeworn deep telephone rotary dial spinning,0.8579911
Old western saloon with piano playing,Vintage western saloon combined accompanied by piano running,0.84432465
Old windmill creaking in breeze,Old windmill moaning inside gust,0.85180426
Old wooden boat creaking on water,Ancient hardwood boat squeaking atop water,0.7368987
Old wooden floorboards creaking,Ancient timber flooring straining,0.7072176
Olympic swimming competition with crowd,Olympic swimming competition distinctly comprising gathering,0.66722983
Opening champagne bottle with pop,sharp Opening champagne bottle featuring pop,0.8327116
Orchestra conductor tapping baton,Orchestra conductor warm tapping baton,0.95048183
Orchestra tuning before performance,Orchestra tuning amid front of performance,0.83570856
Organ playing in cathedral,Organ clear running amidst cathedral,0.60502696
Outdoor cafe with street musicians,Outdoor cafe accompanied by street musicians,0.9041617
Outdoor concert with applause,Outdoor show precisely plus applause,0.80443776
Outdoor festival with multiple sounds,Outdoor festival impressively alongside multiple sounds,0.8308996
Outdoor market with vendors calling,Outdoor mall possessing distinctly vendors calling,0.6661884
Outdoor wedding ceremony with vows,sharp Outdoor wedding ceremony featuring vows,0.8971274
Overflowing bathtub with water splashing,Overflowing bathtub parallel to water splashing,0.92012966
Owl hooting in dark forest,Owl hooting all through dark arboretum,0.8303808
Paddling canoe through still water,Paddling canoe in the middle of still water,0.90899605
Pages turning in large book,Pages turning inside large tome,0.79877806
Paintball game with markers firing,Paintball game incorporating markers firing,0.9048352
Paper being crumpled into ball,Paper becoming crumpled toward ball,0.91003203
Paper being torn slowly,Paper changing to torn leisurely,0.7841208
Paper money being counted by hand,Paper money becoming counted by hand,0.9723537
Paper shredder destroying documents,Paper shredder sharp destroying documents,0.9454763
Parachute opening during skydive,Parachute opening amid the midst of skydive,0.8613702
Party balloons popping,Party balloons sharp popping,0.88526475
Passing cars on wet road after rain,Passing cars resting on wet road following cloudburst,0.8553035
Passing subway train underground,Passing public transport locomotive warm underground,0.7912065
Peaceful meadow with light breeze,"At dawn, peaceful meadow along with subtle wind",0.84336865
Pen writing on paper in quiet room,Pen writing atop paper in the midst of muted room,0.7508573
Pencil scratching on paper,Pencil scratching atop paper,0.8802098
Pendulum clock swinging rhythmically,Pendulum sharp timepiece swinging rhythmically,0.87328076
Person breathing during meditation,rich Person wind during meditation,0.7282126
Person drinking through straw,Person rich drinking amidst straw,0.7112701
Person humming while cooking,Person humming in the process of cooking,0.8283491
Person laughing heartily,sharp Person laughing heartily,0.87671804
Person snoring loudly,sharp Person snoring loudly,0.9401051
Person typing on laptop keyboard,Person typing shrouding laptop input mechanism,0.76218474
Person walking through deep snow,Person pacing through bright resonant snow,0.62141263
Person whistling happy tune,Person whistling happy rich tune,0.9592581
Piano being tuned with key hits,Piano transforming into tuned comprising key hits,0.793542
Piano playing gentle melody,Piano playing soft deep melody,0.75073266
Pickup truck driving on gravel road,Pickup truck driving atop gravel road,0.88138247
Picnic in park with distant children,Picnic in park with faraway children,0.95329905
Pigeons cooing in city square,Pigeons cooing all through cityscape square,0.9092889
Pinball machine with bells and flippers,Pinball contrivance including bells bordering flippers,0.7632883
Pine forest in gentle breeze,"After rainfall, pine arboretum amid subtle breeze",0.6712383
Ping pong ball bouncing on table,Ping pong ball bouncing spanning table,0.9225153
Pirate ship battle with cannons,Pirate ship noticeably battle plus cannons,0.8024922
Pizza restaurant with brick oven,Pizza rich restaurant comprising brick oven,0.8566997
Plane taking off from airport runway,clear Plane taking off from airport runway,0.9127659
Playground with children playing,Play zone plus children performing,0.84556067
Plucking guitar strings one by one,Plucking guitar strings one mellow by one,0.83193505
Pneumatic drill on construction site,Pneumatic drill against noticeably construction site,0.881167
Police car siren approaching,Police vehicle siren drawing near,0.91224396
Pool balls colliding during game,Pool balls pounding amid game,0.75250816
Popcorn popping in microwave,Popcorn popping amid microwave,0.93249
Popping bubble wrap slowly,rich Popping bubble wrap slowly,0.85842824
Pouring cereal into empty bowl,Pouring cereal moving mellow to empty bowl,0.79169416
Pouring champagne into glass,Pouring champagne bright moving to glass,0.7823397
Pouring coffee into ceramic mug,Pouring coffee toward clear ceramic mug,0.8872608
Pouring rain during thunderstorm,Pouring deep cloudburst amid thunderstorm,0.8005469
Pouring rain on tin roof,Pouring shower above aluminum rooftop,0.7638004
Prayer bells ringing in temple,Prayer bright bells ringing inside temple,0.9143709
Pressure cooker releasing steam,sharp Pressure cooker releasing steam,0.8927264
Professional kitchen during service,Professional kitchen distinctly amidst the midst of service,0.5281074
Public pool with swimmers and echoes,Public pool noticeably parallel to swimmers also echoes,0.7376771
Public speaking with microphone feedback,Public speaking flanking microphone feedback,0.8776144
Pulling cork from wine bottle,Pulling cork from wine rich bottle,0.9346281
Puppies playing and barking,Puppies playing and barking,0.99999994
Purring cat on windowsill,Droning kitty covering window shelf,0.64339536
Quiet bar with jazz playing softly,Barely audible bar featuring jazz playing softly,0.79396814
Quiet beach at sunrise with gulls,Soundless beach when sunrise inside addition to gulls during a misty morning,0.750074
Quiet bookstore with occasional page turns,Muted bookstore along containing periodic page turns,0.7510943
Quiet coffee shop with light music,Hushed caf comprising slight music,0.60200274
Quiet country church service,Muted country church service,0.76688355
Quiet forest after fresh snowfall,Silent grove following fresh snowfall,0.8241464
Quiet hospital corridor at night,Soft hospital corridor encircled by night,0.66035235
Quiet library with occasional whispers,Noiseless literary collection comprising intermittent whispers,0.681543
Quiet night with cricket sounds,"Under moonlight, muted night accompanied by cricket sounds",0.7319019
Quiet office with keyboard typing,Still headquarters accompanied by keyboard typing,0.6356859
Quiet park with distant children playing,Faint park flanking secluded children working,0.69147646
Quiet suburban street at night,Faint suburban boulevard during night,0.70787174
Race cars at starting line revving,subtle Race cars throughout starting line revving,0.8378918
Racing heartbeat gradually slowing,mellow Racing heart thump gradually slowing,0.79779434
Radio being tuned between stations,Radio getting tuned between stations,0.9544016
Radio playing in distant room,Radio playing in the midst of distant room,0.8600329
Radio static with occasional voices,Radio static containing irregular voices,0.82486916
Rain beginning to fall on quiet street,Rain beginning to fall against hushed lane,0.8495655
Rain falling on autumn leaves,Rain falling atop autumn leaves,0.82950246
Rain falling on car windshield,Rain falling covering car subtle windshield,0.8718668
Rain falling on metal roof,Rainfall falling atop steel canopy,0.75432515
Rain falling on tent while camping,Rain falling against tent whilst camping,0.9037737
Rain forest with exotic bird calls,Rainfall woodland sharp featuring exotic bird calls,0.84918237
Rain gently falling on umbrella,Precipitation gently falling atop sharp umbrella,0.71527314
Rain increasing from drizzle to downpour,Cloudburst increasing distant from drizzle to downpour,0.8688384
Rain on windowpane at night,Rainfall against windowpane at the time of night,0.88096404
Railroad crossing signal with train,Railroad crossing signal containing train,0.9265009
Railway station with train announcements,Railway station comprising transit vehicle announcements,0.8529981
Rapids in wilderness river,"At remarkably daybreak, rapids throughout wilderness river",0.62770945
Recording studio with sound checks,Recording studio featuring sound deep checks,0.923501
Refrigerator humming in quiet kitchen,Refrigerator whirring amidst still kitchen,0.8105154
Remote cabin with wind and wildlife,Remote cabin featuring zephyr and bright wildlife,0.75866467
Restaurant kitchen during dinner rush,Restaurant kitchen in the middle of dinner rush,0.8094646
Restless ocean during approaching storm,Restless maritime domain during coming closer downpour,0.8360442
Riding horse through shallow creek,Riding horse across shallow creek,0.96115637
Riding lawn mower cutting grass,Riding lawn warm mower cutting grass,0.9282304
Riding motorcycle on empty highway,Riding motorcycle touching empty highway,0.9313576
Rifle firing at shooting range,sharp Rifle firing at shooting range,0.9296125
River rapids through rocky gorge,Flow rapids especially through jagged gorge,0.80886894
Robot servo motors moving precisely,Robot servo motors clear moving precisely,0.93662393
Rock concert with cheering crowd,Rock show featuring roaring throng,0.72805977
